workflow_id	workflow_name	read_layout	workflow_total_duration	download_duration	processing_duration	instance_type	status	run_id	cpu	mem	cache	blkio
b9f8208	hisat2-stringtie	PAIRED	101.0	1.420149903	99.579850097	c5.2xlarge	success	SRR4250750	785.256826198243	9902235648	5117796352	4671578112
461e8ee	hisat2-stringtie	PAIRED	424.0	2.487346409	421.512653591	c5.2xlarge	success	SRR2932901	787.951792817955	7249924096	2431356928	1205075968
d39aa7f	hisat2-stringtie	PAIRED	717.0	4.116092341	712.883907659	c5.2xlarge	success	ERR204893	794.451917602996	10907009024	6065741824	4932296704
69d7bc3	hisat2-stringtie	SINGLE	103.0	0.692202003	102.307797997	c5.2xlarge	success	SRR4428678	753.4994237	10043715584	5279178752	4671901696
927373f	hisat2-stringtie	SINGLE	1284.0	0.916499956	1283.083500044	c5.2xlarge	success	SRR4250750	757.823953425345	7602081792	2906124288	4689362944
e7172e4	hisat2-stringtie	SINGLE	775.0	8.172572119	766.827427881	c5.2xlarge	success	ERR204893	792.5566533	11012243456	6182096896	5242511360
47e754f	tophat2-cufflinks	PAIRED	967.0	0.86103865	966.13896135	c5.2xlarge	success	SRR4250750	796.235032490613	11155390464	7004672000	6322356224
0da5653	tophat2-cufflinks	SINGLE	4921.0	4.140423701	4916.859576299	c5.2xlarge	success	SRR2932901	665.341620873908	12784709632	9260752896	12000964608
a104855	tophat2-cufflinks	SINGLE	939.0	1.649514846	937.350485154	c5.2xlarge	success	SRR5168756	631.638343819095	11563429888	7037349888	6423310336
531d085	tophat2-cufflinks	SINGLE	1407.0	0.820200769	1406.179799231	c5.2xlarge	success	SRR4428678	749.978979076155	11231010816	7199121408	6390611968
5003680	hisat2-cufflinks	PAIRED	677.0	2.298034125	674.701965875	c5.2xlarge	success	SRR2932901	794.536344079602	8862588928	4031827968	2113884160
fc579fb	hisat2-cufflinks	PAIRED	924.0	4.140025956	919.859974044	c5.2xlarge	success	ERR204893	798.8007213	10828513280	5983322112	4652572672
444fbf6	hisat2-cufflinks	SINGLE	486.0	1.93758937	484.06241063	c5.2xlarge	success	SRR5023408	796.022369613948	8866340864	4079874048	4227428352
0fbf87e	hisat2-cufflinks	SINGLE	480.0	3.903637439	476.096362561	c5.2xlarge	success	SRR4241930	766.2425185	7950241792	3142291456	3829420032
9b11f78	hisat2-cufflinks	SINGLE	1091.0	4.009879063	1086.990120937	c5.2xlarge	success	ERR204893	798.2563401	11499507712	6653415424	6412156928
97fccea	tophat2-cufflinks	PAIRED	3144.0	2.316975121	3141.683024879	c5.2xlarge	success	SRR5185518	798.4059698	12315377664	7045681152	10665512960
b6668e1	tophat2-cufflinks	PAIRED	1008.0	1.298826576	1006.701173424	c5.2xlarge	success	SRR5168756	636.240815261845	12109594624	7420395520	6562795520
a2ca0d0	salmon	SINGLE	67.0	0	67.0	c5.2xlarge	success	SRR5185518	799.681073541927	493719552	323444736	61440
937e7c9	salmon	SINGLE	178.0	0	178.0	c5.2xlarge	success	ERR204893	798.5337762	6256934912	1569841152	1815511040
466b591	hisat2-stringtie	PAIRED	90.0	1.133165164	88.866834836	c5.2xlarge	success	SRR4250750	99.877159051186	56901632	55787520	196608
4fd338d	hisat2-stringtie	PAIRED	304.0	2.356137553	301.643862447	c5.2xlarge	success	SRR5023408	801.0114638	7255035904	2446303232	1204924416
c869fb6	hisat2-stringtie	PAIRED	217.0	2.389912996	214.610087004	c5.2xlarge	success	SRR5185518	798.017297733499	6764961792	1945079808	1204588544
ca0bd56	tophat2-cufflinks	PAIRED	969.0	0.299576608	968.700423392	c5.2xlarge	success	SRR4250750	698.301864975124	10962571264	6905663488	6306426880
8337fc5	tophat2-cufflinks	SINGLE	2533.0	3.844090571	2529.155909429	c5.2xlarge	success	SRR4241930	797.551382871411	10241232896	6477942784	4530659328
e213a41	star-stringtie	SINGLE	7.0	0.788889229	6.2111107709999995	c5.2xlarge	success,failed	SRR4250750	0	0	0	0
e73d368	salmon	PAIRED	111.0	0	111.0	c5.2xlarge	success	SRR2932901	798.1305882	847945728	792178688	126976
7db084d	salmon	PAIRED	26.0	0	26.0	c5.2xlarge	success	SRR4250750	0	0	0	0
e114be2	kallisto	SINGLE	432.0	0	432.0	c5.2xlarge	success	SRR2567462	796.988798716049	3817975808	998887424	0
ea972af	hisat2-cufflinks	PAIRED	687.0	3.242591678	683.757408322	c5.2xlarge	success	SRR2932901	801.3540097	8145137664	3326427136	2037469184
53ab027	hisat2-cufflinks	PAIRED	458.0	1.990860953	456.009139047	c5.2xlarge	success	SRR5023408	798.7788827	9564348416	4765769728	4137308160
82bafba	hisat2-cufflinks	PAIRED	454.0	4.885839425	449.114160575	c5.2xlarge	success	SRR4241930	748.749412496863	7613100032	2800967680	3735195648
fa7eb34	hisat2-cufflinks	SINGLE	480.0	5.197597238	474.802402762	c5.2xlarge	success	SRR4241930	796.511035511222	8225394688	3403808768	3815731200
388850d	tophat2-cufflinks	PAIRED	5131.0	4.452452939	5126.547547061	c5.2xlarge	success	SRR2567462	798.8149982	12570353664	8758362112	14739083264
67a5045	tophat2-cufflinks	PAIRED	1025.0	0.489463288	1024.510536712	c5.2xlarge	success	SRR5168756	701.092650732919	10281025536	7140823040	6949236736
f009637	salmon	SINGLE	121.0	0	121.0	c5.2xlarge	success	SRR2932901	799.2550492	4698673152	393199616	0
b1467e8	salmon	SINGLE	35.0	0	35.0	c5.2xlarge	success	SRR5168756	0	0	0	0
9e0a0dc	salmon	SINGLE	175.0	0	175.0	c5.2xlarge	success	ERR204893	798.8446141	6257569792	1607360512	1867218944
a0e4bdc	hisat2-stringtie	SINGLE	93.0	0.936071849	92.063928151	c5.2xlarge	success	SRR4428678	85.8235835616438	558866432	380268544	380252160
3e1447a	hisat2-stringtie	SINGLE	263.0	5.002477772	257.997522228	c5.2xlarge	success	SRR4241930	792.737673631841	6691389440	1866072064	588451840
daada5c	hisat2-stringtie	SINGLE	290.0	2.791226165	287.208773835	c5.2xlarge	success	SRR5023408	794.875971343283	7148224512	2361024512	1204985856
57c4237	salmon	PAIRED	187.0	0	187.0	c5.2xlarge	success	SRR2567462	799.23769605985	3398356992	802353152	16384
ff7c5a1	kallisto	PAIRED	66.0	0	66.0	c5.2xlarge	success	SRR4428678	99.7483024438903	3809693696	0	0
5cdacfe	kallisto	PAIRED	356.0	0	356.0	c5.2xlarge	success	ERR204893	792.176720795031	3956879360	755503104	50085888
f71d278	salmon	SINGLE	114.0	0	114.0	c5.2xlarge	success	SRR5023408	797.801365992509	728043520	667901952	7110656
da21091	kallisto	SINGLE	148.0	0	148.0	c5.2xlarge	success	SRR5185518	99.9971543	3916099584	0	0
fa566a4	kallisto	SINGLE	369.0	0	369.0	c5.2xlarge	success	ERR204893	799.0060391	3818868736	1362735104	0
1d3cbfe	hisat2-cufflinks	PAIRED	182.0	0.89404243	181.10595757	c5.2xlarge	success	SRR4250750	668.920368478803	2417954816	309989376	1019904
4c17294	hisat2-stringtie	PAIRED	700.0	4.188035207	695.811964793	c5.2xlarge	success	SRR2567462	798.9220702	9337688064	4472954880	4336836608
8fae460	hisat2-cufflinks	SINGLE	743.0	3.228411466	739.771588534	c5.2xlarge	success	SRR2932901	799.467102222222	8128040960	3316711424	2071429120
3dd0635	hisat2-cufflinks	SINGLE	228.0	1.504100231	226.495899769	c5.2xlarge	success	SRR5168756	617.361866171004	2711265280	1224552448	1224667136
d609f6b	hisat2-cufflinks	SINGLE	416.0	1.993531358	414.006468642	c5.2xlarge	success	SRR5185518	795.294347795766	6706384896	1903194112	404643840
90b3544	tophat2-cufflinks	PAIRED	1017.0	1.286387926	1015.713612074	c5.2xlarge	success	SRR5168756	795.585575721393	10214690816	6042591232	6944350208
e777b23	tophat2-cufflinks	PAIRED	3124.0	2.079369118	3121.920630882	c5.2xlarge	success	SRR5185518	797.679600995025	11657699328	6312148992	8028811264
9f917a7	tophat2-cufflinks	PAIRED	978.0	1.114055081	976.885944919	c5.2xlarge	success	SRR4250750	687.31135732342	10958229504	6906986496	6307409920
